ID,City,Parent Product Line,Product Line,Source of Contact,Sales Stage,Sales Team
3016,UDUPI,Punch,Punch Pure,External Leads-Web,07 Closed Lost,AA10_3009550
3017,ADI UDUPI,Tigor,Tigor (P) XE New,External Leads-Web,07 Closed Lost,AA10_3009550
3018,ANANTH NAGAR,Tigor,Tigor (P) XMA New,External Leads-Web,07 Closed Lost,AA10_3009550
3019,KASTURBA NAGARA,Punch,Punch Accomplish,Call to Dealer,07 Closed Lost,AA10_3009550
3020,UDUPI,Altroz,Altroz XE 1.2 P,External Leads-Web,07 Closed Lost,AA10_3009550
3021,MANGALORE,Tigor,Tigor (P) XZ+ DT New,External Leads-Web,07 Closed Lost,AA10_3009550
3022,UDUPI,Altroz,Altroz XE 1.2 P,External Leads-Web,07 Closed Lost,AA10_3009550
3023,108 KALTHUR,Nexon,Nexon (P) XZA+ P Dark,External Leads-Web,07 Closed Lost,AA10_3009550
3024,UDUPI,Nexon,Nexon (D) XM New,External Leads-Web,07 Closed Lost,AA10_3009550
3025,BELOOR,Nexon,Nexon (D) XM New,External Leads-Web,07 Closed Lost,AA10_3009550
3026,AJRI,Punch,Punch Pure,External Leads-Web,07 Closed Lost,AA10_3009550
3027,KUTHPADY (OG),Nexon,Nexon (D) XMA (S),Call to Dealer,07 Closed Lost,AA10_3009550
3028,KUNDAPURA,Tigor,Tigor (P) XE New,External Leads-Web,07 Closed Lost,AA10_3009550
3029,KUMBASHI,Nexon,Nexon (D) XM New,External Leads-Web,07 Closed Lost,AA10_3009550
3030,YERLAPADY,Altroz,Altroz XZ 1.2 P,Cold Calling,06 Sale Closed,AA10_3009550
3031,ADI UDUPI,Tigor,Tigor (P) XM New,External Leads-Web,07 Closed Lost,AA10_3009550
3032,108 KALTHUR,Tigor,Tigor (P) XMA New,External Leads-Web,07 Closed Lost,AA10_3009550
3033,UDUPI,Punch,Punch Creative IRA,Cold Calling,07 Closed Lost,AA10_3009550
3034,UDUPI,Altroz,Altroz XZ 1.2 P,Events,07 Closed Lost,AA10_3009550
3035,UDUPI,Nexon,Nexon (P) XZ+ Dark,Cold Calling,07 Closed Lost,AA10_3009550
3036,,Tigor,Tigor (P) XE New,External Leads-Web,07 Closed Lost,AA10_3009550
3037,UDUPI,Altroz,Altroz XT 1.2 P,External Leads-Web,07 Closed Lost,AA10_3009550
3038,DAKSHINA KANNADA,Nexon,Nexon (P) XZ+ New,External Leads-Web,07 Closed Lost,AA10_3009550
3039,UDUPI,Punch,Punch Pure,External Leads-Web,07 Closed Lost,AA10_3009550
